sentence,source,class
"Hackneyed writing, certainly, but made even worse by the bad directing.  ",imdb,negative
"Of course, the acting is blah.  ",imdb,negative
The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,imdb,negative
"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",imdb,negative
"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",imdb,positive
"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",imdb,positive
"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",imdb,positive
"This movie was kind of long in length, but I enjoyed every minute of it.  ",imdb,positive
Overall I rate this movie a 10 out of a 1-10 scale.  ,imdb,positive
"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",imdb,positive
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",imdb,negative
It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,imdb,negative
"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",imdb,positive
"This movie creates its own universe, and is fascinating in every way.  ",imdb,positive
But this movie really got to me.  ,imdb,positive
See it.  ,imdb,positive
"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  ",imdb,positive
"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",imdb,positive
This movie is a good and humorous comment on life in 2006.  ,imdb,positive
"I found this move beautiful, enjoyable, and uplifting.  ",imdb,positive
"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",imdb,positive
Later I found myself lost in the power of the film.  ,imdb,positive
The entire audience applauded at the conclusion of the film.  ,imdb,positive
"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",imdb,positive
Duris has a wholesome appearance and gives a fine performance.  ,imdb,positive
The rest of the cast also play well.  ,imdb,positive
Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,imdb,positive
About ten minutes into this film I started having second thoughts.  ,imdb,negative
About half way through this film I started to dislike it.  ,imdb,negative
"By the time the film ended, I not only disliked it, I despised it.  ",imdb,negative
What this film lacks is a convincing script.  ,imdb,negative
The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,imdb,negative
"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",imdb,negative
The cast is good.  ,imdb,positive
"For that, it's worth checking out.  ",imdb,positive
This is probably the most irritating show I have ever seen in my entire life.  ,imdb,negative
It is indescribably the most annoying and idiotic show I have ever seen.  ,imdb,negative
Everything about it is just bad.  ,imdb,negative
"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",imdb,negative
"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  ",imdb,negative
"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",imdb,negative
Final Word: This Show is a real torture!!  ,imdb,negative
It is zillion times away from reality.  ,imdb,negative
Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,imdb,negative
Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,imdb,negative
20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,imdb,negative
"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",imdb,negative
From here on the Widmark character turns unintentionally comical!  ,imdb,negative
His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,imdb,negative
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,imdb,negative
Whatever prompted such a documentary is beyond me!  ,imdb,negative
(very serious spoilers) this movie was a huge disappointment.  ,imdb,negative
there are so many problems i dont know where to start.  ,imdb,negative
the cast was great.  ,imdb,positive
"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",imdb,positive
add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,imdb,positive
but the movie makes a lot of serious mistakes.  ,imdb,negative
"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",imdb,negative
the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,imdb,negative
"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",imdb,negative
there is no real plot.  ,imdb,negative
i wouldnt see this movie again for free.  ,imdb,negative
STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,imdb,positive
This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,imdb,positive
"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",imdb,positive
"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",imdb,positive
"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",imdb,positive
Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,imdb,positive
"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",imdb,negative
"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",imdb,negative
The original Body and Soul (1947) is a masterpiece.  ,imdb,positive
"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",imdb,positive
I don't think there are any redeeming qualities in this remake.  ,imdb,negative
This may be the only bad film he ever made.  ,imdb,negative
So bad...well...it's just bad.  ,imdb,negative
"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",imdb,negative
It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,imdb,negative
I thought it was bad.  ,imdb,negative
"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",imdb,negative
"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",imdb,negative
The script is a big flawed mess.  ,imdb,negative
The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,imdb,negative
"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",imdb,negative
The movie is terribly boring in places.  ,imdb,negative
The lighting is awful.  ,imdb,negative
The film looks cheap and bland.  ,imdb,negative
One of the most disappointing aspects is the lack of notable gore.  ,imdb,negative
"This convention never worked well in the past, and certainly doesn't work here.  ",imdb,negative
The visual effects were AWFUL.  ,imdb,negative
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,imdb,negative
"The ""explosion"" of the Gas tanks at the end was just as awful.  ",imdb,negative
"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",imdb,positive
"Gotta love those close-ups of slimy, drooling teeth!  ",imdb,positive
"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",imdb,negative
Not recommended.  ,imdb,negative
"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",imdb,negative
"Aside from it's terrible lead, this film has loads of other debits.  ",imdb,negative
"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",imdb,negative
"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",imdb,negative
The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,imdb,positive
"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",imdb,negative
The budget was evidently very limited.  ,imdb,negative
"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",imdb,negative
"However, here there was no decent acting, action or location work to balance things up.  ",imdb,negative
Filmiing was less expansive.  ,imdb,negative
It failed to convey the broad sweep of landscapes that were a great part of the original.  ,imdb,negative
Generally; it just lacked imagination.  ,imdb,negative
Not recommended.  ,imdb,negative
Is it possible for a movie to get any worse than this?  ,imdb,negative
There is no plot here to keep you going in the first place.  ,imdb,negative
"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",imdb,negative
"Beware: this is not a trashy cult movie, this is trash -period!  ",imdb,negative
I can't believe there's even a sequel to this!  ,imdb,negative
Which is precisely why I am giving it such a bad review!  ,imdb,negative
"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",imdb,positive
"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",imdb,positive
The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,imdb,positive
"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",imdb,positive
The characters were all funny and had the peculiarity of not having a true lead character.  ,imdb,positive
Every single character was hilarious and deserved to be called a lead.  ,imdb,positive
"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",imdb,negative
"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",imdb,negative
Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,imdb,positive
There is simply no excuse for something this poorly done.  ,imdb,negative
I saw this movie and I thought this is a stupid movie.  ,imdb,negative
What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,imdb,negative
"To be honest with you, this is unbelievable nonsense and very foolish.  ",imdb,negative
"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",imdb,negative
The story line is just awful!  ,imdb,negative
It's just painful!  ,imdb,negative
And the accents are absolutely abysmal!  ,imdb,negative
There's also enough hypocrisy in this film to make me vomit.  ,imdb,negative
Don't waste your time watching this rubbish non-researched film.  ,imdb,negative
I believe that Pitch Black was done well.  ,imdb,positive
"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",imdb,positive
Go watch it!  ,imdb,positive
Omit watching this.  ,imdb,negative
VERY funny!  ,imdb,positive
My rating: just 3 out of 10.  ,imdb,negative
The characters are interesting and you really care for them.  ,imdb,positive
"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",imdb,positive
Don't miss it.  ,imdb,positive
"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",imdb,positive
"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",imdb,positive
"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",imdb,positive
"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",imdb,positive
The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,imdb,negative
"Regardless, the film fails on most levels.  ",imdb,negative
Avoid at all costs.  ,imdb,negative
"I saw this film over Christmas, and what a great film it was!  ",imdb,positive
I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,imdb,positive
His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,imdb,positive
"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",imdb,positive
But it wasn't until I watched this film that I realised how great he actually was.  ,imdb,positive
I'll give this film 10 out of 10!  ,imdb,positive
"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",imdb,negative
"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",imdb,negative
"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",imdb,positive
"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",imdb,positive
Nevertheless yet another wonderful film from the great master's stable.  ,imdb,positive
I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,imdb,positive
Excellently produced by one of Sci-fi's best producers Scot Vandiver !  ,imdb,positive
"But it is entertaining, nonetheless.  ",imdb,positive
It's a campy sort of film that's a joy to watch.  ,imdb,positive
There's barely a boring moment in the film and there are plenty of humorous parts.  ,imdb,positive
The cast is always entertaining as usual.  ,imdb,positive
"Overall, a delight!  ",imdb,positive
"This movie is so mind-bendingly awful, it couldn't have even been created.  ",imdb,negative
The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,imdb,negative
The least said about the acting the better.  ,imdb,negative
This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,imdb,positive
I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,imdb,positive
Nothing short of magnificent photography/cinematography in this film.  ,imdb,positive
"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",imdb,positive
Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,imdb,positive
Excellent performance.  ,imdb,positive
There still are good actors around!  ,imdb,positive
Also great directing and photography.  ,imdb,positive
"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",imdb,positive
"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",imdb,positive
"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",imdb,positive
"If you love death and decay, and Shakespears lyrics... this is the one.  ",imdb,positive
"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",imdb,positive
"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",imdb,positive
"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  ",imdb,positive
Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  ,imdb,positive
"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",imdb,negative
"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",imdb,negative
"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",imdb,positive
It is not good.  ,imdb,negative
"Speaking of the music, it is unbearably predictably and kitchy.  ",imdb,negative
Then the film just dropped the ball.  ,imdb,negative
This is a stunning movie.  ,imdb,positive
Raw and sublimely moving.  ,imdb,positive
"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",imdb,positive
All of the main players are mesmerising.  ,imdb,positive
Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,imdb,positive
Julian Fellowes has triumphed again.  ,imdb,positive
He's a national treasure.  ,imdb,positive
GO AND SEE IT!  ,imdb,positive
This is an excellent film.  ,imdb,positive
The aerial scenes were well-done.  ,imdb,positive
It was also the right balance of war and love.  ,imdb,positive
"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",imdb,positive
Kris Kristoffersen is good in this movie and really makes a difference.  ,imdb,positive
A good film by a great director!  ,imdb,positive
This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,imdb,positive
"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",imdb,negative
This is just a great movie.  ,imdb,positive
10 out of 10 stars.  ,imdb,positive
I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,imdb,negative
It's so bad it's actually worth seeing just for that reason.  ,imdb,negative
Punishment Park is a brilliant piece of cinema.  ,imdb,positive
"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",imdb,positive
This is one of Peter Watkins most accessible films.  ,imdb,positive
I advise you to look out for it.  ,imdb,positive
You wont regret it!  ,imdb,positive
Highly recommended A+  ,imdb,positive
Well... Just if you keep thinking how bad it is.  ,imdb,negative
"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",imdb,negative
It's a case of 'so bad it is laughable'.  ,imdb,negative
") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",imdb,negative
"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",imdb,negative
How awful she is!  ,imdb,negative
"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",imdb,negative
"The results, well, are a shame.  ",imdb,negative
DELETE this film from your mind!  ,imdb,negative
One of the worst shows of all time.  ,imdb,negative
The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,imdb,negative
"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",imdb,negative
Never heard of any of them except Cole who was totally unbelievable in the part.  ,imdb,negative
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",imdb,negative
The stories were as unbelievable as the actors.  ,imdb,negative
Lame would be the best way to describe it.  ,imdb,negative
"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",imdb,positive
The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,imdb,positive
The attractive set used throughout most of the film is an eye-pleasing gem.  ,imdb,positive
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",imdb,negative
"The lines, the cuts, the audio, everything is wrong.  ",imdb,negative
You can find better movies at youtube.  ,imdb,negative
"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",imdb,negative
"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",imdb,negative
That's how I'd describe this painfully dreary time-waster of a film.  ,imdb,negative
"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",imdb,negative
"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",imdb,negative
"It's an empty, hollow shell of a movie.  ",imdb,negative
"Seriously, it's not worth wasting your, or your kid's time on.  ",imdb,negative
"Avoid, avoid, avoid!  ",imdb,negative
It will drive you barking mad!  ,imdb,negative
The transfers are very good.  ,imdb,positive
Very nice and relaxing late night viewing.  ,imdb,positive
The movie is full of wonderful dancing (hence the title!  ,imdb,positive
") some great music, and terrific scenery.  ",imdb,positive
"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",imdb,positive
") a happy, wonderful, feel good ending!  ",imdb,positive
"The point is the journey, a journey that touches every member of the family.  ",imdb,positive
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,imdb,positive
Nothing new there.  ,imdb,negative
That was done in the second movie.  ,imdb,negative
The movie has almost no action scenes in it and very little comedy.  ,imdb,negative
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,imdb,negative
What on earth is Irons doing in this film?  ,imdb,negative
I just saw this film and I recommend it.  ,imdb,positive
"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",imdb,positive
"A very good film indeed, about great and unconditional love.  ",imdb,positive
"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",imdb,positive
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",imdb,positive
"Despite the pans of reviewers, I liked this movie.  ",imdb,positive
"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",imdb,positive
"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",imdb,positive
"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",imdb,positive
I guess I liked the details of his dysfunction--he was believable.  ,imdb,positive
The football scenes at the end were perplexing.  ,imdb,negative
But I thought his acting was skilled.  ,imdb,positive
Meredith M was better than all right.  ,imdb,positive
A very charming film with wonderful sentiment and heart.  ,imdb,positive
It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,imdb,positive
Nine out of ten for a truly lovely film.  ,imdb,positive
This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,imdb,positive
This is one of the best Italian thrillers of the early 70's.  ,imdb,positive
A standout scene.  ,imdb,positive
This scene is very strong and unpleasant.  ,imdb,negative
"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",imdb,positive
It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,imdb,positive
The movie was very interesting from beginning to the end.  ,imdb,positive
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,imdb,positive
This movie is also revealing.  ,imdb,positive
"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",imdb,positive
And it was boring.  ,imdb,negative
"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",imdb,negative
PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,imdb,positive
"It's a fresh, subtle, and rather sublime effect.  ",imdb,positive
"An Italian reviewer called this ""a small, great film,"" and that's right.  ",imdb,positive
"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",imdb,positive
"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",imdb,positive
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",imdb,positive
Also the music by Mark Snow is possibly the best score I've ever heard.  ,imdb,positive
You won't forget this movie!  ,imdb,positive
Why was this film made?  ,imdb,negative
The film has an ultra-cheap look to it.  ,imdb,negative
The result is a film that just don't look right.  ,imdb,negative
None of them are engaging or exciting.  ,imdb,negative
The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,imdb,negative
The Foreigner is not worth one second of your time.  ,imdb,negative
"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",imdb,positive
But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,imdb,positive
This movie is so awesome!  ,imdb,positive
"I loved it, it was really scary.  ",imdb,positive
I love the Scream movies and all horror movies and this one ranks way up there.  ,imdb,positive
If you want a real scare rent this one!  ,imdb,positive
10/10  ,imdb,positive
This is an extraordinary film.  ,imdb,positive
"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",imdb,positive
"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",imdb,positive
"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",imdb,positive
This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,imdb,positive
"Predictable, but not a bad watch.  ",imdb,positive
It was clear that she had the range and ability to pull off this part.  ,imdb,positive
She carries the movie well.  ,imdb,positive
Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,imdb,positive
"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",imdb,positive
"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",imdb,negative
"In fact, this stinker smells like a direct-to-video release.  ",imdb,negative
Avoid at ALL costs!  ,imdb,negative
Star Trek V The final Frontier is the worst in the series.  ,imdb,negative
"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",imdb,negative
The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,imdb,negative
The only place good for this film is in the garbage.  ,imdb,negative
The worst one of the series.  ,imdb,negative
Editing: The editing of this film was phenomenal in my opinion.  ,imdb,positive
"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",imdb,positive
Cinematography: The film was shot in an interesting way.  ,imdb,positive
"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",imdb,positive
This film offers many delights and surprises.  ,imdb,positive
"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",imdb,positive
The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,imdb,positive
You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,imdb,positive
But this understated film leaves a lasting impression.  ,imdb,positive
The warmth it generates is in contrast to its austere backdrop.  ,imdb,positive
You will leave the theater wanting to go out and dance under the stars.  ,imdb,positive
"The acting, as you'd expect from this cast, is top notch.  ",imdb,positive
"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",imdb,positive
"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",imdb,positive
Conclusion - I loved it.  ,imdb,positive
It's a long time since I was so entertained by a movie.  ,imdb,positive
I struggle to find anything bad to say about it.  ,imdb,positive
"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",imdb,positive
"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",imdb,positive
"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",imdb,positive
"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",imdb,positive
Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,imdb,positive
Trumbull on I LOVE LUCY).  ,imdb,positive
See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,imdb,positive
See both films if you can.  ,imdb,positive
"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",imdb,positive
"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",imdb,positive
Very disappointed and wondered how it could be in the Oscar shortlist.  ,imdb,negative
It's very slow.  ,imdb,negative
Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,imdb,negative
) Don't waste your time.  ,imdb,negative
End of Days is one of the worst big-budget action movies I've ever seen.  ,imdb,negative
He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,imdb,negative
This was one of the worst films i have ever seen.  ,imdb,negative
I'm still trying to get over how bad it was.  ,imdb,negative
This movie is possibly one of the most creative works of horror ever.  ,imdb,positive
